Id,Time
972,0
1124,0
668,0
290,0
507,0
126,0
833,0
623,0
1010,0
30,0
1242,0
14,0
368,0
95,0
580,0
905,0
495,0
920,0
1337,0
1352,0
430,0
1418,0
997,0
1297,0
231,0
653,0
1076,0
762,0
970,0
861,0
454,0
250,0
807,0
1244,0
724,0
1135,0
1142,0
1330,0
519,0
1434,0
1394,0
302,0
586,0
1348,0
1257,0
425,0
336,0
20,0
678,0
171,0
1386,0
232,0
1258,0
1437,0
1007,0
209,0
1005,0
239,0
1422,0
975,0
325,0
513,0
929,0
932,0
639,0
696,0
1411,0
1277,0
882,0
463,0
1096,0
1463,0
1279,0
1183,0
849,0
353,0
275,0
543,0
1221,0
783,0
1334,0
954,0
544,0
114,0
350,0
1445,0
34,0
179,0
626,0
539,0
659,0
487,0
863,0
1028,0
830,0
647,0
609,0
559,0
1204,0
892,0
1,0
1435,0
337,0
421,0
193,0
316,0
1202,0
59,0
763,0
412,0
1243,0
1228,0
571,0
60,0
947,0
1217,0
755,0
408,0
79,0
395,0
149,0
557,0
1387,0
360,0
442,0
191,0
565,0
599,0
299,0
1461,0
948,0
585,0
878,0
40,0
1400,0
802,0
697,0
839,0
184,0
197,0
1223,0
804,0
161,0
7,0
1102,0
341,0
848,0
1036,0
285,0
376,0
1020,0
260,0
1145,0
1149,0
73,0
516,0
1206,0
1392,0
1283,0
1462,0
727,0
440,0
322,0
199,0
86,0
891,0
343,0
1154,0
283,0
84,0
739,0
884,0
380,0
1189,0
569,0
1066,0
865,0
684,0
384,0
752,0
225,0
1322,0
379,0
1371,0
145,0
491,0
1127,0
1367,0
151,0
458,0
1336,0
1116,0
988,0
917,0
230,0
1472,0
1013,0
1201,0
1214,0
423,0
1112,0
1172,0
1062,0
1042,0
1107,0
432,0
1454,0
214,0
601,0
1401,0
843,0
228,0
629,0
818,0
912,0
494,0
903,0
1419,0
919,0
74,0
291,0
831,0
1288,0
1128,0
1057,0
1185,0
1314,0
1168,0
357,0
229,0
956,0
1231,0
1423,0
597,0
978,0
497,0
278,0
492,0
1186,0
1292,0
66,0
774,0
825,0
812,0
1210,0
363,0
255,0
202,0
141,0
1049,0
933,0
1056,0
775,0
23,0
741,0
24,0
183,0
27,0
1376,0
324,0
67,0
1442,0
759,0
1208,0
854,0
354,0
1164,0
1148,0
1213,0
1323,0
1082,0
832,0
994,0
349,0
1370,0
99,0
1016,0
393,0
1099,0
1171,0
83,0
918,0
22,0
582,0
940,0
323,0
116,0
627,0
669,0
767,0
15,0
1409,0
227,0
334,0
1097,0
38,0
1156,0
57,0
992,0
312,0
1019,0
1001,0
397,0
1317,0
9,0
1301,0
448,0
566,0
1284,0
21,0
1466,0
1215,0
721,0
113,0
240,0
731,0
447,0
435,0
1023,0
867,0
560,0
895,0
549,0
828,0
420,0
1287,0
688,0
263,0
359,0
207,0
654,0
1267,0
1293,0
902,0
591,0
471,0
486,0
857,0
734,0
441,0
488,0
535,0
603,0
54,0
1078,0
508,0
942,0
1428,0
1192,0
658,0
953,0
300,0
1018,0
675,0
1368,0
174,0
1469,0
928,0
429,0
1030,0
276,0
147,0
36,0
632,0
1203,0
1328,0
1431,0
301,0
50,0
190,0
726,0
120,0
1194,0
456,0
444,0
695,0
916,0
1103,0
5,0
522,0
53,0
796,0
596,0
1179,0
327,0
217,0
1033,0
268,0
378,0
439,0
1365,0
13,0
167,0
103,0
981,0
1451,0
464,0
960,1
957,1
710,1
707,1
708,1
1415,1
242,1
245,1
819,1
1351,1
293,1
467,1
1045,1
1046,1
1037,1
409,1
795,1
1441,1
1139,1
879,1
835,1
175,1
1307,1
1303,1
845,1
172,1
691,1
692,1
673,1
874,1
416,1
1252,1
650,1
856,1
859,1
31,1
89,1
405,1
406,1
922,1
914,1
671,1
426,1
1031,1
536,1
943,1
297,1
808,1
811,1
872,1
1269,1
1270,1
419,1
169,1
128,1
129,1
144,1
468,1
1004,1
682,1
90,1
924,1
481,1
478,1
789,1
1256,1
401,1
346,1
347,1
788,1
261,1
1343,1
780,1
951,1
776,1
779,1
264,1
1090,1
1093,1
1163,1
1167,1
1300,1
635,1
876,1
973,1
1060,1
185,1
188,1
194,1
1025,1
1026,1
643,1
968,1
969,1
965,1
158,1
1160,1
1161,1
527,1
198,1
945,1
504,1
501,1
713,1
538,1
1404,1
1407,1
1359,1
664,1
306,1
303,1
511,1
926,1
1130,1
124,1
1174,1
1175,1
1177,1
266,1
180,1
1264,1
1260,1
1263,1
1345,1
1347,1
331,1
1121,1
1072,1
1069,1
611,1
614,1
1240,1
1310,1
1412,1
131,1
1395,1
1398,1
122,1
82,1
1364,1
574,1
575,1
411,1
1440,1
548,1
1249,1
1246,1
307,1
1084,1
1087,1
317,1
977,1
133,1
134,1
459,1
840,1
617,1
618,1
615,1
505,1
660,1
63,1
1356,1
43,1
1123,1
288,1
292,1
834,1
621,1
622,1
1011,1
32,1
366,1
96,1
93,1
578,1
579,1
1335,1
431,1
1417,1
998,1
999,1
1296,1
652,1
655,1
862,1
248,1
251,1
252,1
1245,1
1133,1
1134,1
1140,1
1143,1
1329,1
1331,1
1332,1
521,1
518,1
1436,1
1396,1
1259,1
335,1
680,1
676,1
679,1
233,1
1006,1
210,1
241,1
238,1
1424,1
1420,1
514,1
930,1
931,1
637,1
638,1
698,1
694,1
1275,1
1278,1
1095,1
851,1
351,1
545,1
541,1
542,1
1222,1
784,1
785,1
781,1
952,1
1444,1
177,1
178,1
628,1
657,1
829,1
610,1
607,1
894,1
2,1
3,1
1433,1
338,1
761,1
764,1
1226,1
572,1
58,1
1219,1
753,1
754,1
757,1
78,1
148,1
558,1
1385,1
1389,1
358,1
192,1
189,1
563,1
598,1
298,1
1459,1
587,1
41,1
1402,1
800,1
803,1
1225,1
805,1
806,1
163,1
159,1
6,1
1100,1
339,1
342,1
287,1
375,1
1021,1
258,1
1146,1
1147,1
71,1
515,1
517,1
1207,1
